# Lightning emoji catalogue; Unicode Emoji 17.0; emojis crate 0.8.2
# emoji\tname\taliases\tcategory\tbaseEmoji\ttone
👐🏻	open hands: light skin tone		People & Body	👐	light
👐🏼	open hands: medium-light skin tone		People & Body	👐	medium-light
👐🏽	open hands: medium skin tone		People & Body	👐	medium
👐🏾	open hands: medium-dark skin tone		People & Body	👐	medium-dark
👐🏿	open hands: dark skin tone		People & Body	👐	dark
🤲	palms up together	palms_up_together	People & Body	🤲	default
🤲🏻	palms up together: light skin tone		People & Body	🤲	light
🤲🏼	palms up together: medium-light skin tone		People & Body	🤲	medium-light
🤲🏽	palms up together: medium skin tone		People & Body	🤲	medium
🤲🏾	palms up together: medium-dark skin tone		People & Body	🤲	medium-dark
🤲🏿	palms up together: dark skin tone		People & Body	🤲	dark
🤝	handshake	handshake	People & Body	🤝	default
🤝🏻	handshake: light skin tone		People & Body	🤝	light
🤝🏼	handshake: medium-light skin tone		People & Body	🤝	medium-light
🤝🏽	handshake: medium skin tone		People & Body	🤝	medium
🤝🏾	handshake: medium-dark skin tone		People & Body	🤝	medium-dark
🤝🏿	handshake: dark skin tone		People & Body	🤝	dark
🫱🏻‍🫲🏼	handshake: light skin tone, medium-light skin tone		People & Body	🤝	mixed
🫱🏻‍🫲🏽	handshake: light skin tone, medium skin tone		People & Body	🤝	mixed
🫱🏻‍🫲🏾	handshake: light skin tone, medium-dark skin tone		People & Body	🤝	mixed
🫱🏻‍🫲🏿	handshake: light skin tone, dark skin tone		People & Body	🤝	mixed
🫱🏼‍🫲🏻	handshake: medium-light skin tone, light skin tone		People & Body	🤝	mixed
🫱🏼‍🫲🏽	handshake: medium-light skin tone, medium skin tone		People & Body	🤝	mixed
🫱🏼‍🫲🏾	handshake: medium-light skin tone, medium-dark skin tone		People & Body	🤝	mixed
🫱🏼‍🫲🏿	handshake: medium-light skin tone, dark skin tone		People & Body	🤝	mixed
🫱🏽‍🫲🏻	handshake: medium skin tone, light skin tone		People & Body	🤝	mixed
🫱🏽‍🫲🏼	handshake: medium skin tone, medium-light skin tone		People & Body	🤝	mixed
